command,label
输入,1.0
输入,1.0
输入,1.0
上传,1.0
上传,1.0
上传,1.0
上传 照片,1.0
上传 照片,1.0
上传 照片,1.0
上传 照片,1.0
上传 照片,1.0
输入 照片,1.0
输入 照片,1.0
输入 照片,1.0
上传,1.0
上传,1.0
上传,1.0
输入 图片,1.0
图片 输入,1.0
上传 图片,1.0
图片 上传,1.0
上传 文件,1.0
文件 上传,1.0
给 你 图片,1.0
发送 图片,1.0
给 你 文件,1.0
发送 文件,1.0
我 想 上传 图片,1.0
输入 文件,1.0
我 想 给 你 图片,1.0
给 你 图片,1.0
给 你 文件,1.0
提取 文字,2.0
里面 写 了 什么,2.0
里面 写 了 什么 ？,2.0
这 里面 写 了 什么 ？,2.0
这 里面 写 了 什么,2.0
这是 什么 意思,2.0
图品 里 有 什么,2.0
这写 的 啥 ？,2.0
里面 有 啥,2.0
这 啥 ？,2.0
这 啥,2.0
写 了 啥 ？,2.0
写 了 啥,2.0
写 了 啥,2.0
写 了 啥,2.0
写 了 啥,2.0
这是 什么,2.0
这 什么 玩意儿,2.0
这写 得 什么 字,2.0
有 什么 在 图片 里,2.0
图片 什么,2.0
图上 写 着 什么,2.0
照片 里 有 什么,2.0
帮 我 看看 照片 上 写 着 什么,2.0
图片 中有 什么 文字,2.0
图片 中有 什么,2.0
图片 中 的 信息,2.0
我 想 知道 图片 中 的 文本,2.0
提取 文本,2.0
得到 文本,2.0
清空,3.0
删除,3.0
删除,3.0
删除,3.0
删除,3.0
清空,3.0
清空,3.0
清空 记录,3.0
清空 记录,3.0
清空 记录,3.0
clear,3.0
clean,3.0
删除 记录,3.0
删除 记录,3.0
删除 历史,3.0
删除 历史,3.0
清空 历史,3.0
翻译,4.0
翻译,4.0
翻译,4.0
翻译,4.0
翻译,4.0
翻译,4.0
英文,4.0
英文,4.0
英文,4.0
英文,4.0
英文,4.0
翻译,4.0
中译英,4.0
中译英,4.0
中译英,4.0
翻译 翻译,4.0
翻译 一下,4.0
转 成 英文,4.0
英文 是 什么,4.0
译文 是 什么,4.0
这句 话 英文 是 什么,4.0
翻译成 英文,4.0
分析 一下 情感,5.0
分析 情感,5.0
分析 一下,5.0
情感 是 什么,5.0
